nama_gambar,teks_deskripsi
Dark/dark (141).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (142).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (143).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (144).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (145).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (146).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (147).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (148).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (149).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (15).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (150).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (151).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (152).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (153).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (154).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (155).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (156).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (157).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (158).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (159).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (16).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (160).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (161).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (162).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (163).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (164).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (165).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (166).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (167).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (168).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (169).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (17).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (170).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (171).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (172).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (173).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (174).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (175).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (176).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (177).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (178).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (179).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (18).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (180).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (181).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (182).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (183).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (184).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (185).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (186).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (187).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (188).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (189).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (19).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (190).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (191).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (192).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (193).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (194).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (195).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (196).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (197).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (198).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (199).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (2).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (20).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (200).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (201).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (202).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (203).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (204).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (205).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (206).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (207).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (208).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (209).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (21).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (210).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (211).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (212).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (213).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (214).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (215).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (216).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (217).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (218).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (219).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (22).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (220).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (221).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (222).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (223).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (224).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (225).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (226).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (227).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (228).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (229).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (23).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (230).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (231).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (232).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (233).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (234).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (235).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (236).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (237).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (238).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (239).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (24).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (240).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (241).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (242).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (243).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (244).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (245).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (246).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (247).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (248).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (249).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (25).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (250).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (251).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (252).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (253).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (254).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (255).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (256).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (257).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (258).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (259).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (26).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (260).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (261).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (262).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (263).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (264).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (265).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (266).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (267).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (268).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (269).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (27).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (270).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (271).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (272).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (273).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (274).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (275).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (276).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (277).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (278).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (279).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (28).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (280).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
Dark/dark (281).png,<start> Kondisi fisik kopi dark roast dengan warna cokelat tua kehitaman serta tekstur luar yang berminyak. <end>
Dark/dark (282).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (283).png,<start> Biji kopi ini menunjukkan tingkat sangrai gelap dengan warna pekat dan permukaan yang memantulkan cahaya. <end>
Dark/dark (284).png,<start> Hasil sangrai maksimal menghasilkan biji berwarna gelap pekat dengan kandungan minyak yang keluar ke permukaan. <end>
